Date,Open,High,Low,Close,Volume,OpenInt
23-08-2010,16.388,16.499,16.335,16.448,134698,0
24-08-2010,16.415,16.58,16.335,16.507,94721,0
25-08-2010,16.514,16.601,16.396,16.514,91884,0
26-08-2010,16.507,16.618,16.371,16.521,125191,0
27-08-2010,16.559,16.685,16.415,16.685,102788,0
30-08-2010,16.574,16.574,16.171,16.424,122139,0
31-08-2010,16.328,16.438,16.142,16.408,138247,0
01-09-2010,16.474,16.55,16.438,16.521,83518,0
02-09-2010,16.542,16.61,16.499,16.514,94547,0
03-09-2010,16.559,16.559,16.431,16.461,77034,0
07-09-2010,16.448,16.574,16.282,16.55,113107,0
08-09-2010,16.559,16.685,16.559,16.653,144338,0
09-09-2010,16.685,16.996,16.646,16.966,157252,0
10-09-2010,16.945,17.144,16.847,17.063,198933,0
13-09-2010,17.077,17.115,17.018,17.089,182131,0
14-09-2010,17.031,17.149,17.031,17.115,143506,0
15-09-2010,17.115,17.262,17.077,17.248,617107,0
16-09-2010,17.262,17.59,17.226,17.558,533267,0
17-09-2010,17.539,18.027,17.539,17.777,646361,0
20-09-2010,17.777,17.871,17.708,17.777,373744,0
21-09-2010,17.759,17.783,17.308,17.411,495908,0
22-09-2010,17.375,17.523,17.188,17.3,414485,0
23-09-2010,17.3,17.447,17.149,17.396,279949,0
24-09-2010,17.447,17.627,17.433,17.433,147682,0
27-09-2010,17.42,17.498,17.336,17.381,101191,0
28-09-2010,17.396,17.612,17.276,17.329,199614,0
29-09-2010,17.285,17.447,17.188,17.367,263269,0
30-09-2010,17.352,17.582,17.336,17.36,251026,0
01-10-2010,17.389,17.404,17.197,17.248,95124,0
04-10-2010,17.256,17.396,17.21,17.315,132058,0
05-10-2010,17.285,17.396,17.285,17.367,129728,0
06-10-2010,17.344,17.389,17.218,17.322,117223,0
07-10-2010,17.329,17.447,17.294,17.42,79014,0
08-10-2010,17.344,17.344,17.234,17.322,88072,0
11-10-2010,17.285,17.36,17.188,17.344,105575,0
12-10-2010,17.352,17.447,17.285,17.36,1307467,0
13-10-2010,17.427,17.427,17.294,17.352,129101,0
14-10-2010,17.352,17.352,17.197,17.234,278551,0
15-10-2010,17.256,17.294,16.802,16.901,238854,0
18-10-2010,16.824,16.966,16.796,16.901,52472,0
19-10-2010,16.81,16.996,16.714,16.81,244899,0
20-10-2010,16.737,16.818,16.58,16.706,216045,0
21-10-2010,16.668,16.75,16.61,16.646,159441,0
22-10-2010,16.661,16.86,16.653,16.781,121833,0
25-10-2010,16.802,16.842,16.618,16.653,180682,0
26-10-2010,16.499,16.966,16.499,16.901,304590,0
27-10-2010,16.901,16.996,16.86,16.952,98439,0
28-10-2010,16.952,17.038,16.877,17.011,54669,0
29-10-2010,16.996,17.089,16.927,17.011,109217,0
01-11-2010,17.018,17.149,17.011,17.137,91871,0
02-11-2010,17.13,17.262,17.038,17.099,311297,0
03-11-2010,17.011,17.13,16.927,17.025,173765,0
04-11-2010,17.071,17.248,17.047,17.144,172763,0
05-11-2010,17.13,17.262,17.107,17.174,146985,0
08-11-2010,17.144,17.336,17.122,17.27,151753,0
09-11-2010,17.21,17.308,17.188,17.27,115177,0
10-11-2010,17.203,17.285,17.122,17.188,102545,0
11-11-2010,17.144,17.183,17.038,17.056,96252,0
12-11-2010,16.973,17.056,16.959,16.987,67776,0
15-11-2010,16.966,17.047,16.966,16.987,106589,0
16-11-2010,16.927,16.952,16.631,16.832,166431,0
17-11-2010,16.706,16.927,16.61,16.818,76014,0
18-11-2010,16.901,17.063,16.854,17.047,63254,0
19-11-2010,17.025,17.038,16.937,16.959,62263,0
22-11-2010,16.937,16.959,16.72,16.892,158261,0
23-11-2010,16.854,16.854,16.594,16.72,200884,0
24-11-2010,16.72,17.005,16.72,16.764,141626,0
26-11-2010,16.743,16.75,16.618,16.714,95958,0
29-11-2010,16.507,16.526,16.164,16.408,95046,0
30-11-2010,16.32,16.328,15.964,16.253,160762,0
01-12-2010,16.379,16.627,16.335,16.335,121075,0
02-12-2010,16.275,16.335,16.052,16.105,133841,0
03-12-2010,16.059,16.111,15.979,16.023,92045,0
06-12-2010,15.964,16.157,15.771,16.111,164512,0
07-12-2010,16.075,16.194,15.927,16.031,84443,0
08-12-2010,15.964,16.031,15.867,15.912,61276,0
09-12-2010,15.912,16.083,15.837,16,98389,0
10-12-2010,15.896,16.157,15.829,16.148,118318,0
13-12-2010,16.075,16.142,15.964,16.09,81719,0
14-12-2010,16,16.067,15.748,15.748,85256,0
15-12-2010,15.696,15.876,15.409,15.481,163516,0
16-12-2010,15.577,15.577,14.937,15.25,306209,0
17-12-2010,15.273,15.592,15.213,15.487,68686,0
20-12-2010,15.541,15.57,15.019,15.051,98313,0
21-12-2010,15.019,15.308,14.924,15.223,117923,0
22-12-2010,15.103,15.421,15.103,15.324,90107,0
23-12-2010,15.297,15.421,15.182,15.25,135081,0
27-12-2010,15.25,15.401,15.145,15.356,73179,0
28-12-2010,15.367,15.519,15.297,15.519,104829,0
29-12-2010,15.614,15.712,15.519,15.608,72278,0
30-12-2010,15.667,15.816,15.555,15.763,57026,0
31-12-2010,15.876,16.097,15.823,16.067,45685,0
03-01-2011,16.111,16.164,15.992,16.083,129905,0
04-01-2011,16.052,16.186,15.918,16.186,164121,0
05-01-2011,16.186,16.342,16.142,16.268,114460,0
